Id,Brightness_Class
50579,1
37987,1
53977,0
10677,0
35653,1
53275,1
7765,1
3759,0
39236,1
48246,0
22697,1
1700,1
38808,1
53033,1
25209,0
30447,0
1833,0
4368,1
25721,0
11391,0
34120,1
15840,0
2870,1
11750,0
42282,0
37134,0
15551,0
7085,1
14144,0
20523,1
40751,0
39865,0
4477,1
38436,0
51269,1
5492,1
9682,0
20856,0
19719,0
2313,1
40498,1
34036,1
30096,1
4332,1
14973,1
12923,0
6498,1
7364,1
30027,1
23787,0
28336,0
41574,0
41292,0
47180,1
47432,0
47826,0
49859,0
6458,0
38658,0
20340,1
36346,1
50528,0
36665,1
49544,0
11231,0
8427,0
17194,1
52925,1
10329,1
16646,0
6537,1
47979,1
27255,0
4286,1
22976,0
22449,1
40586,1
38139,0
7162,0
42605,1
45656,1
7978,1
39789,1
4353,0
45783,0
20488,1
50761,0
18495,0
28804,1
36648,0
2021,1
31003,0
38842,0
24089,1
11917,0
22921,1
33047,0
28494,0
31178,0
44717,1
24204,1
49989,0
23727,1
47646,0
38586,0
37454,0
46148,0
47507,0
31437,0
34191,0
51210,0
771,0
51216,1
49627,0
45312,1
48791,1
43081,0
29230,1
49870,0
7828,1
10564,0
18899,1
40937,1
21481,1
11600,0
4700,1
7097,0
19673,0
34891,1
2646,1
46375,0
52764,1
20914,0
45462,0
42353,1
13265,0
7419,0
27376,0
25429,0
8956,0
11256,0
3386,0
25723,0
29163,1
34989,1
42484,1
17490,1
47362,0
24539,0
1627,0
18032,0
33477,0
14462,1
43924,0
45721,1
31066,0
34755,1
44067,0
32724,1
45837,0
1351,1
46626,0
53070,1
42671,1
14046,1
17280,1
22217,0
31547,1
25296,1
22587,0
21036,1
44549,1
4542,0
46454,1
48595,0
39917,1
45494,0
22790,1
50363,0
7385,1
34084,1
30343,1
487,0
17596,1
44081,0
14511,0
14728,0
24946,0
5138,0
20792,1
39819,0
52463,1
21501,1
8537,0
41887,1
1601,1
14211,0
35702,1
16103,1
41118,0
31939,0
38233,0
49616,0
45108,0
52226,1
43899,1
16709,0
40559,0
22057,0
38418,0
2908,0
52476,0
24092,1
36321,1
33172,0
7300,1
37981,1
6769,0
21975,0
22299,1
52769,1
46441,1
27066,0
1307,0
12755,0
36787,1
32397,0
46771,1
44849,1
50292,0
47583,0
41699,0
9212,0
8857,1
27216,0
38648,0
35289,0
5909,0
11827,1
49665,0
52594,1
41981,1
38143,0
16892,0
6734,0
20475,1
6533,0
53353,0
47810,0
9333,1
22390,1
31167,0
9731,1
19034,0
31643,0
13955,0
36869,1
37752,0
13237,0
29907,1
4591,1
23962,0
14699,0
52943,1
24199,1
50063,0
25783,0
15634,0
14631,0
12617,0
48198,0
42753,1
10559,0
1411,1
6835,1
7983,1
33699,0
29582,0
11257,1
47468,0
32939,0
18707,1
21371,0
36070,0
17071,1
15043,1
26745,0
21113,0
19282,1
46104,1
29064,0
8105,1
12965,0
9422,1
11758,0
36899,1
44378,1
698,0
39855,0
36830,1
15169,1
18204,0
49533,0
34389,0
53167,1
14845,1
48688,0
19516,0
31417,0
10303,1
40308,0
48911,0
16728,0
7800,0
27571,0
16586,0
13895,0
32233,0
35014,0
5356,1
22875,1
34408,0
21462,1
49726,0
42881,0
4258,1
22469,1
44731,0
33309,1
20411,0
5569,0
30333,1
52979,1
16290,0
37890,1
8697,0
18723,0
1311,1
18037,1
37514,1
43396,1
48442,0
31070,0
15894,1
27529,0
30501,0
31290,0
27613,0
18506,1
5366,1
1192,0
13220,0
29974,1
29046,0
48640,0
31813,0
50788,0
15802,1
43612,1
30445,0
39639,0
19699,0
28204,0
38869,1
48664,1
46430,0
23261,0
20074,0
15572,0
26878,0
12255,1
3407,1
6463,0
4706,0
41107,0
3638,0
37750,1
16265,0
46972,1
47004,1
3767,0
949,1
22301,0
48935,0
8069,0
42148,0
42590,1
45646,1
27811,0
1783,1
46889,0
28598,0
50901,0
22007,0
33282,1
44790,0
7935,0
50882,0
16419,1
46973,0
5793,0
32147,0
4970,1
34424,0
21483,0
30642,0
31760,0
53495,0
38177,0
11580,0
19557,0
23281,1
44404,0
52049,0
51092,1
40843,0
22969,0
47575,0
43096,1
25112,1
12817,0
16621,0
52336,0
23085,0
38635,0
13263,0
13818,0
37273,0
51397,0
29927,0
5123,1
43769,0
32901,0
32286,0
41929,1
6561,1
12991,0
14940,1
475,0
53110,0
29991,1
30031,0
4646,0
21329,1
40870,1
13707,0
50139,0
8059,1
28027,0
44139,0
30647,0
51627,0
2740,1
26404,0
1219,0
23664,1
7598,0
16039,0
15803,0
50794,0
22748,1
8010,0
30895,0
20791,1
7937,1
8643,1
10273,0
52961,1
33170,1
22418,1
9777,0
23198,1
25147,0
31936,0
9072,0
33905,1
40609,1
23729,1
2112,0
37883,0
39117,0
50624,0
46027,0
26902,1
15709,0
25960,0
27383,1
51030,0
40284,1
6461,0
21006,1
745,0
53194,0
11470,1
21776,1
40523,0
519,0
16757,0
34378,0
42565,1
17608,0
48488,0
20708,1
50300,0
1139,1
11548,0
51534,1
35549,0
46087,1
52242,0
21479,0
37459,0
30536,0
4929,0
38573,1
40229,1
19077,1
21347,0
26938,1
4973,1
45870,0
25280,0
49603,0
37346,0
28698,0
44553,1
31127,0
47969,0
9649,0
22760,1
18133,1
29796,1
17743,1
42385,1
2432,0
7659,0
24591,1
8395,1
23468,1
11212,0
41558,0
36745,1
46309,0
15021,1
27179,0
38235,0
30141,1
2395,0
19397,1
32972,1
27863,0
33957,0
5849,0
46223,0
17312,0
39295,0
33187,1
12772,0
50633,1
29533,0
39505,1
26419,0
13368,0
5976,0
26440,1
18038,1
1972,1
43490,1
34820,1
22804,0
49297,0
50994,1
12583,0
8326,0
52957,1
34914,1
651,0
9291,1
13408,0
50560,0
53803,0
33076,1
44386,0
13975,0
2528,1
43409,0
29859,1
21631,0
2595,1
46443,1
7113,0
15864,1
34778,0
12914,0
39988,0
2321,0
49939,0
145,1
31836,0
8063,1
35924,1
42947,1
38646,0
13615,0
48666,1
2822,0
50465,1
837,0
3119,0
32640,0
13798,0
45864,0
43017,1
38031,1
40455,0
17696,1
39246,0
15418,0
39504,1
1853,1
13423,0
19212,1
2756,1
42470,1
45496,0
1940,1
16891,0
22578,0
37848,1
28015,0
34436,0
41484,0
26791,0
37382,0
25007,1
34631,0
32300,0
53127,0
45162,1
34621,0
24724,0
35470,1
18403,0
10083,1
10558,0
5260,1
51054,0
49644,0
47809,0
6372,1
44995,0
13648,0
32371,0
11895,1
11106,0
45085,1
45884,0
23094,1
2064,1
45415,1
5755,0
21878,0
48658,0
32636,0
36819,0
3037,0
9964,1
37402,0
4330,0
16834,0
38407,0
16740,0
52772,0
13590,0
24610,1
16312,0
20797,1
22424,1
12908,0
53608,0
52075,0
17899,0
52107,0
21972,0
8968,0
49105,0
2734,1
12689,1
31887,1
23128,1
4304,1
41985,1
6728,1
3741,0
38169,0
13622,0
18073,0
19567,0
42064,0
29185,0
13714,0
45894,0
28521,1
30106,1
14807,1
35330,1
36102,1
31452,1
14177,0
44183,0
29084,0
16185,0
26267,0
27604,0
53027,0
25389,1
18654,1
30928,1
52706,1
26265,0
18221,1
51465,0
31224,0
30457,0
44337,0
25153,0
20853,1
28795,1
31384,0
4480,0
30618,0
15294,1
47129,1
33197,1
26966,0
1907,1
42685,1
4996,0
39866,1
49795,0
21879,0
39110,1
51375,1
42995,0
40242,1
48961,0
26838,0
28230,0
31151,0
38158,0
8030,1
40820,1
30052,1
32533,0
16799,0
23912,1
26151,0
13585,0
27601,0
41545,0
14203,0
18177,1
31038,0
18778,0
16088,0
34937,0
24916,0
46134,0
15410,0
10443,0
28249,0
12975,0
457,0
6016,0
10794,0
10990,0
9764,1
1461,1
27651,0
53557,0
22337,1
39632,0
52842,1
1735,1
39799,1
14472,1
7959,1
38042,0
9142,1
38053,0
12726,0
6292,1
20236,0
46172,0
51443,1
14394,0
36512,1
28345,0
30364,1
53944,0
25341,0
2118,0
18853,1
3739,0
33518,0
14356,0
49405,0
28968,0
41190,0
49600,0
42534,1
7665,0
37105,0
28418,1
50072,0
20842,1
50010,0
7551,0
16054,0
18616,0
18285,1
47872,0
2820,0
18452,1
4616,0
4614,0
9614,0
40350,0
7435,0
11719,0
27962,1
13395,0
42119,1
7486,0
46647,0
36743,1
30090,1
20099,0
8463,1
26909,0
41226,0
14057,0
50297,0
7527,0
35053,1
18823,0
39738,0
46264,1
27581,0
7279,0
2544,1
19170,1
16363,0
45000,0
34106,1
34264,0
47816,0
28504,0
40759,0
9524,1
45539,0
31229,0
10652,0
43363,1
29694,0
34040,0
43823,0
26630,0
17036,0
16235,0
27668,0
48861,0
46412,0
13875,0
17550,1
4516,0
34260,0
15225,1
35130,1
13483,0
34687,1
50312,0
6739,1
51464,1
47022,1
41241,0
35935,1
5044,1
31784,0
20331,1
2061,1
24172,1
12504,0
42048,1
32546,0
41698,0
33612,0
32302,0
41906,0
514,1
7309,1
8117,1
32252,0
38571,1
36918,1
39435,1
46493,1
46866,0
16200,0
53169,1
13967,0
13271,0
51047,0
3032,0
34374,0
10590,0
7491,1
12419,0
4688,0
10112,1
52929,1
48628,1
31520,1
25224,0
5584,0
39515,1
42314,1
39194,0
4483,0
25828,1
32610,0
15069,1
10135,0
17723,0
26168,0
27105,0
32024,0
13222,0
9552,1
37068,0
29783,1
41273,0
22647,0
30676,1
14966,1
41904,1
20966,1
37718,1
8055,1
5655,0
3562,0
49565,0
1964,0
53114,1
48630,1
50236,0
19765,0
46935,1
30201,0
27123,0
31231,0
24083,1
10006,1
51143,1
6334,1
14978,1
25265,1
18837,0
44368,1
52377,1
44331,1
27574,0
18150,1
42759,1
38967,0
39696,1
25633,1
50405,1
51533,0
12432,0
33046,0
27148,1
37700,0
14381,0
43915,1
30920,1
23911,1
3132,0
16473,1
10378,0
6555,0
9923,0
43850,1
52267,0
31730,0
37783,0
46248,1
12503,1
6585,0
51169,0
30706,1
45585,1
32698,0
27219,0
12346,0
25002,0
16087,0
45622,1
16695,0
6577,0
4288,0
38953,0
7520,0
53829,0
52268,0
6546,1
17246,0
48878,0
4837,0
1563,1
19216,1
34502,0
6977,0
20649,1
20600,0
32186,0
36791,1
51665,0
8653,1
23734,1
19624,0
40045,0
25374,1
7137,0
42462,0
18193,0
46729,0
51042,0
21488,0
4242,1
